,country,Code,Year,tertiary percentage,secondary percentage,primary percentage
154,Gambia,GMB,2010,0.91,57.451831817627,71.7792663574219
155,Germany,DEU,2000,10.48,99.84454345703128,99.8758087158203
156,Germany,DEU,2005,10.89,102.506103515625,99.75000762939447
157,Germany,DEU,2010,13.14,103.983703613281,99.6122665405273
158,Ghana,GHA,2000,1.84,35.6556816101074,70.4852066040039
159,Ghana,GHA,2005,1.66,41.0644302368164,73.930061340332
160,Greece,GRC,1975,5.26,74.7537536621094,97.6257095336914
161,Greece,GRC,1980,5.87,81.4446487426758,93.9608612060547
162,Greece,GRC,1985,8.74,87.8996124267578,99.5144805908203
163,Greece,GRC,1990,11.33,94.929557800293,95.41964721679692
164,Greece,GRC,1995,12.76,91.9660034179688,91.3611602783203
165,Greece,GRC,2000,12.22,89.93728637695308,98.07476806640628
166,Greece,GRC,2005,19.3,99.6430892944335,97.17047119140628
167,Greece,GRC,2010,22.5,104.979263305664,98.791748046875
168,Guatemala,GTM,1970,0.57,10.2929496765137,49.2117805480957
169,Guatemala,GTM,1975,0.73,12.1578397750854,52.406551361084006
170,Guatemala,GTM,1980,1.41,18.3493404388428,56.9133911132813
171,Guatemala,GTM,2000,1.74,36.163669586181605,87.23458862304692
172,Guatemala,GTM,2005,1.54,49.7588195800781,94.63819122314447
173,Guatemala,GTM,2010,0.0,63.1428718566895,98.9220428466797
174,Guyana,GUY,2010,0.24,88.6422805786133,85.23316955566409
175,Haiti,HTI,1980,0.45,11.8469495773315,35.898250579834
176,Honduras,HND,1980,1.08,29.4462108612061,76.9209899902344
177,Honduras,HND,2010,1.93,72.6365966796875,99.1289596557617
178,Hong Kong,HKG,1975,1.63,45.9585304260254,88.7545013427734
179,Hong Kong,HKG,1980,3.33,58.63764953613279,94.844108581543
180,Hong Kong,HKG,1985,4.11,72.4062423706055,96.74746704101558
181,Hungary,HUN,1995,8.52,89.1346588134766,90.5496292114258
182,Hungary,HUN,2000,9.36,96.1834030151367,96.86351776123053
183,Hungary,HUN,2005,12.57,96.1855010986328,97.3594512939453
184,Hungary,HUN,2010,15.38,99.9341812133789,99.4961166381836
185,Iceland,ISL,2000,10.71,107.40357208252,99.1832122802734
186,Iceland,ISL,2005,14.08,109.112640380859,97.89407348632808
187,Iceland,ISL,2010,17.89,109.289772033691,98.6849594116211
188,India,IND,2000,4.01,45.0636215209961,84.1365432739258
189,India,IND,2010,4.85,63.29093933105471,96.1928100585938
190,Indonesia,IDN,1975,0.24,21.0729904174805,73.3595962524414
191,Indonesia,IDN,1990,0.98,46.585880279540994,96.28028106689447
192,Indonesia,IDN,1995,1.15,47.5897407531738,93.65796661376947
193,Indonesia,IDN,2005,2.67,60.1328315734863,93.1107025146484
194,Indonesia,IDN,2010,3.73,76.5401916503906,96.8136520385742
195,Iran,IRN,1985,2.55,44.397701263427706,83.36122131347659
196,Iran,IRN,1990,4.13,53.217559814453104,92.5661468505859
197,Iran,IRN,2000,8.0,78.584129333496,85.2519073486328
198,Iran,IRN,2005,9.74,75.8452911376953,96.1834182739258
199,Iran,IRN,2010,14.66,81.9550476074219,99.6831207275391
200,Iraq,IRQ,1975,1.68,34.4262199401855,64.52004241943361
201,Iraq,IRQ,1980,2.15,53.152889251709006,93.5088119506836
202,Iraq,IRQ,1985,2.98,49.2459411621094,87.42101287841801
203,Iraq,IRQ,2000,5.34,37.4691314697266,88.4190826416016
204,Ireland,IRL,1975,4.42,85.2335968017578,93.8169097900391
205,Ireland,IRL,1980,6.02,90.25186157226558,93.2186889648438
206,Ireland,IRL,1990,10.61,94.4415893554688,87.9719467163086
207,Ireland,IRL,1995,14.07,109.204139709473,86.92530059814449
208,Ireland,IRL,2000,16.37,99.43411254882808,99.75438690185553
209,Ireland,IRL,2005,20.47,109.539489746094,99.87484741210942
210,Ireland,IRL,2010,26.8,123.462608337402,99.68173217773442
211,Israel,ISR,2000,18.34,103.003219604492,99.5462265014648
212,Israel,ISR,2005,18.8,104.736122131348,99.9719009399414
213,Israel,ISR,2010,20.26,102.055839538574,99.9256134033203
214,Italy,ITA,1985,2.59,73.8626022338867,99.1435775756836
215,Italy,ITA,1995,4.5,88.8192901611328,97.1973114013672
216,Italy,ITA,2000,4.99,92.4845809936523,99.9714813232422
217,Italy,ITA,2005,5.6,98.28961181640628,99.5540390014648
218,Italy,ITA,2010,6.84,102.212699890137,99.5498886108398
219,Jamaica,JAM,1975,0.73,55.3497314453125,93.1551513671875
220,Jamaica,JAM,1980,0.75,68.2156829833984,95.5834197998047
221,Jamaica,JAM,1985,1.2,61.3341293334961,95.73973846435553
222,Jamaica,JAM,2000,7.09,86.3706893920898,93.5644989013672
223,Japan,JPN,1975,5.66,92.2703475952148,98.74014282226558
224,Japan,JPN,1980,5.04,92.4653778076172,99.93557739257808
225,Japan,JPN,1985,10.76,94.9192733764648,99.91525268554692
