quote_date,shop_code,region,price,item_id,date,dateStata,dateISO,obs,year,month,quarter,_merge
202001,59,9,5.9499998,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,2,12,7.9899998,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,48,2,10.29,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,123,3,10,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,106,3,8.9499998,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,26,2,6.5900002,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,8,13,10.95,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,59,12,8.3500004,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,109,8,10.49,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,47,2,6.1999998,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,72,6,6.4899998,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,95,6,9.9499998,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,41,5,10.25,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,69,12,7.29,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,91,6,8.1000004,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,25,9,9.9899998,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,101,3,9.1000004,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,65,9,10.45,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,78,13,8.9499998,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,109,8,9.9899998,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,87,9,7.5999999,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,77,4,8.8999996,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,45,4,15,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,75,3,9.8999996,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,92,7,13,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,59,7,7.9499998,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,99,8,6.9899998,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,84,4,6.1999998,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,5,7,13.5,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,22,10,6.1999998,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,82,4,9.1000004,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,95,7,15,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,51,9,7.5999999,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,113,9,6.5,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,94,3,5.25,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,70,2,15.49,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,30,3,11.49,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,68,8,7.9899998,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,104,12,8.9899998,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,85,13,11,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,80,9,9.9899998,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,9,3,6.9499998,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,73,4,12,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,103,2,6.5,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,25,7,9.4899998,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,61,6,12,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,45,2,13.5,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,54,4,8.4499998,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,34,5,7.9499998,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,13,9,12.95,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,43,4,4.9899998,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,59,9,7.5,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,82,8,7.29,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202001,92,11,8.1000004,220107,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
