,price,item,date,year
128,4.0,Whiskey per nip,01-01-2020,2020
129,5.5500002,Wine per serving,01-01-2020,2020
130,4.1999998,Premium Lager,01-01-2020,2020
131,3.2,Vodka per nip,01-01-2020,2020
132,19.0,Bottle of Brandy,01-01-2020,2020
133,4.9000001,Wine per serving,01-01-2020,2020
134,2.05,Vodka per nip,01-01-2020,2020
135,3.2,Vodka per nip,01-01-2020,2020
136,5.6500001,Wine per serving,01-01-2020,2020
137,4.1999998,Lager,01-01-2020,2020
138,2.5899999,Lager,01-01-2020,2020
139,4.0,Bottled Premium Lager,01-01-2020,2020
140,5.5,Lager,01-01-2020,2020
141,3.0999999,Vodka per nip,01-01-2020,2020
142,4.3000002,Wine per serving,01-01-2020,2020
143,3.5999999,Draught Bitter,01-01-2020,2020
144,4.1999998,Vodka per nip,01-01-2020,2020
145,14.29,Bottle of wine,01-01-2020,2020
146,5.0500002,Lager,01-01-2020,2020
147,5.9499998,Premium Lager,01-01-2020,2020
148,27.5,Bottle of Brandy,01-01-2020,2020
149,4.5,Vodka per nip,01-01-2020,2020
150,3.5999999,Bottled Premium Lager,01-01-2020,2020
151,3.45,Bottled Premium Lager,01-01-2020,2020
152,2.8,Wine per serving,01-01-2020,2020
153,3.8499999,Vodka per nip,01-01-2020,2020
154,3.3499999,Vodka per nip,01-01-2020,2020
155,5.5999999,Draught Stout,01-01-2020,2020
156,4.5500002,Premium Lager,01-01-2020,2020
157,3.9000001,Wine per serving,01-01-2020,2020
158,4.25,Whiskey per nip,01-01-2020,2020
159,5.25,Draught Bitter,01-01-2020,2020
160,3.2,Lager,01-01-2020,2020
161,4.9499998,Draught Stout,01-01-2020,2020
162,5.5999999,Premium Lager,01-01-2020,2020
163,2.8499999,Vodka per nip,01-01-2020,2020
164,5.0999999,Draught Stout,01-01-2020,2020
165,5.1999998,Bottled Premium Lager,01-01-2020,2020
166,5.5500002,Wine per serving,01-01-2020,2020
167,3.05,Whiskey per nip,01-01-2020,2020
168,3.8,Draught Stout,01-01-2020,2020
169,3.0,Whiskey per nip,01-01-2020,2020
170,3.7,Lager,01-01-2020,2020
171,4.5500002,Whiskey per nip,01-01-2020,2020
172,5.25,Wine per serving,01-01-2020,2020
173,3.45,Vodka per nip,01-01-2020,2020
174,3.29,Draught Bitter,01-01-2020,2020
175,2.99,Whiskey per nip,01-01-2020,2020
176,4.0500002,Vodka per nip,01-01-2020,2020
177,3.5899999,Wine per serving,01-01-2020,2020
178,4.4000001,Draught Stout,01-01-2020,2020
179,4.0500002,Whiskey per nip,01-01-2020,2020
180,3.8499999,Whiskey per nip,01-01-2020,2020
181,4.3000002,Premium Lager,01-01-2020,2020
182,3.9000001,Draught Bitter,01-01-2020,2020
183,3.4000001,Whiskey per nip,01-01-2020,2020
184,5.0999999,Premium Lager,01-01-2020,2020
185,4.6999998,Draught Stout,01-01-2020,2020
186,3.6500001,Whiskey per nip,01-01-2020,2020
187,13.5,Bottle of wine,01-01-2020,2020
188,3.0,Whiskey per nip,01-01-2020,2020
189,4.5999999,Draught Bitter,01-01-2020,2020
190,18.5,Bottle of Brandy,01-01-2020,2020
191,2.0999999,Draught Bitter,01-01-2020,2020
192,2.0999999,Lager,01-01-2020,2020
193,5.9000001,Whiskey per nip,01-01-2020,2020
194,3.8,Lager,01-01-2020,2020
195,2.55,Vodka per nip,01-01-2020,2020
196,4.25,Premium Lager,01-01-2020,2020
197,4.9499998,Premium Lager,01-01-2020,2020
198,5.0,Draught Stout,01-01-2020,2020
199,5.0,Bottled Premium Lager,01-01-2020,2020
200,5.25,Lager,01-01-2020,2020
201,2.7,Whiskey per nip,01-01-2020,2020
202,3.45,Whiskey per nip,01-01-2020,2020
203,3.0999999,Draught Stout,01-01-2020,2020
204,2.8,Whiskey per nip,01-01-2020,2020
205,3.8499999,Draught Stout,01-01-2020,2020
206,4.79,Wine per serving,01-01-2020,2020
207,4.3000002,Lager,01-01-2020,2020
208,3.5999999,Whiskey per nip,01-01-2020,2020
209,4.5999999,Wine per serving,01-01-2020,2020
210,3.75,Whiskey per nip,01-01-2020,2020
211,4.9000001,Whiskey per nip,01-01-2020,2020
212,4.1500001,Premium Lager,01-01-2020,2020
213,3.7,Premium Lager,01-01-2020,2020
214,4.0,Vodka per nip,01-01-2020,2020
215,4.0,Draught Stout,01-01-2020,2020
216,4.8499999,Lager,01-01-2020,2020
217,5.3000002,Draught Stout,01-01-2020,2020
218,4.75,Bottled Premium Lager,01-01-2020,2020
219,4.0999999,Bottled Premium Lager,01-01-2020,2020
220,19.5,Bottle of wine,01-01-2020,2020
221,5.1500001,Draught Stout,01-01-2020,2020
222,5.1500001,Bottled Premium Lager,01-01-2020,2020
223,2.5899999,Bottled Premium Lager,01-01-2020,2020
224,4.9000001,Wine per serving,01-01-2020,2020
225,5.3899999,Wine per serving,01-01-2020,2020
226,3.4000001,Whiskey per nip,01-01-2020,2020
227,3.0999999,Vodka per nip,01-01-2020,2020
228,6.4899998,Wine per serving,01-01-2020,2020
229,3.8499999,Premium Lager,01-01-2020,2020
230,2.3900001,Draught Bitter,01-01-2020,2020
231,3.5999999,Whiskey per nip,01-01-2020,2020
232,3.5899999,Bottled Premium Lager,01-01-2020,2020
233,19.75,Bottle of wine,01-01-2020,2020
234,4.8499999,Whiskey per nip,01-01-2020,2020
