,country,Year,democracy score,years of schooling
1,Afghanistan,1789,0.018,0.72
2,Afghanistan,1790,0.018,0.72
3,Afghanistan,1791,0.018,0.72
4,Afghanistan,1792,0.018,0.72
5,Afghanistan,1793,0.018,0.72
6,Afghanistan,1794,0.018,0.72
7,Afghanistan,1795,0.018,0.72
8,Afghanistan,1796,0.018,0.72
9,Afghanistan,1797,0.018,0.72
10,Afghanistan,1798,0.018,0.72
11,Afghanistan,1799,0.018,0.72
12,Afghanistan,1800,0.018,0.72
13,Afghanistan,1801,0.018,0.72
14,Afghanistan,1802,0.018,0.72
15,Afghanistan,1803,0.018,0.72
16,Afghanistan,1804,0.018,0.72
17,Afghanistan,1805,0.018,0.72
18,Afghanistan,1806,0.018,0.72
19,Afghanistan,1807,0.018,0.72
20,Afghanistan,1808,0.018,0.72
21,Afghanistan,1809,0.018,0.72
22,Afghanistan,1810,0.018,0.72
23,Afghanistan,1811,0.018,0.72
24,Afghanistan,1812,0.018,0.72
25,Afghanistan,1813,0.018,0.72
26,Afghanistan,1814,0.018,0.72
27,Afghanistan,1815,0.018,0.72
28,Afghanistan,1816,0.018,0.72
29,Afghanistan,1817,0.018,0.72
30,Afghanistan,1818,0.018,0.72
31,Afghanistan,1819,0.018,0.72
32,Afghanistan,1820,0.018,0.72
33,Afghanistan,1821,0.018,0.72
34,Afghanistan,1822,0.018,0.72
35,Afghanistan,1823,0.018,0.72
36,Afghanistan,1824,0.018,0.72
37,Afghanistan,1825,0.018,0.72
38,Afghanistan,1826,0.018,0.72
39,Afghanistan,1827,0.018,0.72
40,Afghanistan,1828,0.018,0.72
41,Afghanistan,1829,0.018,0.72
42,Afghanistan,1830,0.018,0.72
43,Afghanistan,1831,0.018,0.72
44,Afghanistan,1832,0.018,0.72
45,Afghanistan,1833,0.018,0.72
46,Afghanistan,1834,0.018,0.72
47,Afghanistan,1835,0.018,0.72
48,Afghanistan,1836,0.018,0.72
49,Afghanistan,1837,0.018,0.72
50,Afghanistan,1838,0.018,0.72
51,Afghanistan,1839,0.018,0.72
52,Afghanistan,1840,0.018,0.72
53,Afghanistan,1841,0.018,0.72
54,Afghanistan,1842,0.018,0.72
55,Afghanistan,1843,0.018,0.72
56,Afghanistan,1844,0.018,0.72
57,Afghanistan,1845,0.018,0.72
58,Afghanistan,1846,0.018,0.72
59,Afghanistan,1847,0.018,0.72
60,Afghanistan,1848,0.018,0.72
61,Afghanistan,1849,0.018,0.72
62,Afghanistan,1850,0.018,0.72
63,Afghanistan,1851,0.018,0.72
64,Afghanistan,1852,0.018,0.72
65,Afghanistan,1853,0.018,0.72
66,Afghanistan,1854,0.018,0.72
67,Afghanistan,1855,0.018,0.72
68,Afghanistan,1856,0.018,0.72
69,Afghanistan,1857,0.018,0.72
70,Afghanistan,1858,0.018,0.72
71,Afghanistan,1859,0.018,0.72
72,Afghanistan,1860,0.018,0.72
73,Afghanistan,1861,0.018,0.72
74,Afghanistan,1862,0.018,0.72
75,Afghanistan,1863,0.018,0.72
76,Afghanistan,1864,0.018,0.72
77,Afghanistan,1865,0.018,0.72
78,Afghanistan,1866,0.018,0.72
79,Afghanistan,1867,0.018,0.72
80,Afghanistan,1868,0.018,0.72
81,Afghanistan,1869,0.018,0.72
82,Afghanistan,1870,0.018,0.72
83,Afghanistan,1871,0.018,0.72
84,Afghanistan,1872,0.018,0.72
85,Afghanistan,1873,0.018,0.72
86,Afghanistan,1874,0.018,0.72
87,Afghanistan,1875,0.018,0.72
88,Afghanistan,1876,0.018,0.72
89,Afghanistan,1877,0.018,0.72
90,Afghanistan,1878,0.018,0.72
91,Afghanistan,1879,0.018,0.72
92,Afghanistan,1880,0.018,0.72
93,Afghanistan,1881,0.018,0.72
94,Afghanistan,1882,0.018,0.72
95,Afghanistan,1883,0.018,0.72
96,Afghanistan,1884,0.018,0.72
97,Afghanistan,1885,0.018,0.72
98,Afghanistan,1886,0.018,0.72
99,Afghanistan,1887,0.018,0.72
100,Afghanistan,1888,0.018,0.72
101,Afghanistan,1889,0.018,0.72
102,Afghanistan,1890,0.018,0.72
103,Afghanistan,1891,0.018,0.72
104,Afghanistan,1892,0.018,0.72
105,Afghanistan,1893,0.018,0.72
106,Afghanistan,1894,0.018,0.72
107,Afghanistan,1895,0.018,0.72
108,Afghanistan,1896,0.018,0.72
109,Afghanistan,1897,0.018,0.72
110,Afghanistan,1898,0.018,0.72
111,Afghanistan,1899,0.018,0.72
112,Afghanistan,1900,0.017,0.72
113,Afghanistan,1901,0.017,0.72
114,Afghanistan,1902,0.021,0.72
115,Afghanistan,1903,0.021,0.72
116,Afghanistan,1904,0.021,0.72
117,Afghanistan,1905,0.021,0.72
118,Afghanistan,1906,0.021,0.72
119,Afghanistan,1907,0.021,0.72
120,Afghanistan,1908,0.021,0.72
121,Afghanistan,1909,0.021,0.72
122,Afghanistan,1910,0.023,0.72
123,Afghanistan,1911,0.023,0.72
124,Afghanistan,1912,0.023,0.72
125,Afghanistan,1913,0.023,0.72
126,Afghanistan,1914,0.023,0.72
127,Afghanistan,1915,0.023,0.72
128,Afghanistan,1916,0.023,0.72
129,Afghanistan,1917,0.023,0.72
130,Afghanistan,1918,0.023,0.72
131,Afghanistan,1919,0.026,0.72
132,Afghanistan,1920,0.034,0.72
133,Afghanistan,1921,0.037,0.72
134,Afghanistan,1922,0.037,0.72
135,Afghanistan,1923,0.036,0.72
136,Afghanistan,1924,0.112,0.72
137,Afghanistan,1925,0.11,0.72
138,Afghanistan,1926,0.11,0.72
139,Afghanistan,1927,0.11,0.72
140,Afghanistan,1928,0.11,0.72
141,Afghanistan,1929,0.103,0.72
142,Afghanistan,1930,0.101,0.72
143,Afghanistan,1931,0.115,0.72
144,Afghanistan,1932,0.084,0.72
145,Afghanistan,1933,0.084,0.72
146,Afghanistan,1934,0.085,0.72
147,Afghanistan,1935,0.085,0.72
148,Afghanistan,1936,0.085,0.72
149,Afghanistan,1937,0.085,0.72
150,Afghanistan,1938,0.088,0.72
151,Afghanistan,1939,0.088,0.72
152,Afghanistan,1940,0.086,0.72
153,Afghanistan,1941,0.086,0.72
154,Afghanistan,1942,0.086,0.72
155,Afghanistan,1943,0.083,0.72
156,Afghanistan,1944,0.083,0.72
157,Afghanistan,1945,0.083,0.72
158,Afghanistan,1946,0.088,0.72
159,Afghanistan,1947,0.089,0.72
160,Afghanistan,1948,0.089,0.72
161,Afghanistan,1949,0.093,0.72
162,Afghanistan,1950,0.099,0.72
163,Afghanistan,1951,0.099,0.72
164,Afghanistan,1952,0.088,0.72
165,Afghanistan,1953,0.085,0.72
166,Afghanistan,1954,0.079,0.72
167,Afghanistan,1955,0.081,0.72
168,Afghanistan,1956,0.081,0.72
169,Afghanistan,1957,0.081,0.72
170,Afghanistan,1958,0.079,0.72
171,Afghanistan,1959,0.079,0.72
172,Afghanistan,1960,0.081,0.72
173,Afghanistan,1961,0.083,0.72
174,Afghanistan,1962,0.083,0.72
175,Afghanistan,1963,0.086,0.72
176,Afghanistan,1964,0.098,0.72
177,Afghanistan,1965,0.148,0.72
178,Afghanistan,1966,0.163,0.72
179,Afghanistan,1967,0.165,0.72
180,Afghanistan,1968,0.165,0.72
181,Afghanistan,1969,0.164,0.72
182,Afghanistan,1970,0.16,0.72
183,Afghanistan,1971,0.16,0.72
184,Afghanistan,1972,0.157,0.72
185,Afghanistan,1973,0.15,0.72
186,Afghanistan,1974,0.103,0.72
187,Afghanistan,1975,0.104,0.72
188,Afghanistan,1976,0.104,0.72
189,Afghanistan,1977,0.099,0.72
190,Afghanistan,1978,0.086,0.72
191,Afghanistan,1979,0.085,0.72
192,Afghanistan,1980,0.083,0.72
193,Afghanistan,1981,0.083,0.72
194,Afghanistan,1982,0.083,0.72
195,Afghanistan,1983,0.084,0.72
196,Afghanistan,1984,0.084,0.72
197,Afghanistan,1985,0.084,0.72
198,Afghanistan,1986,0.084,0.72
199,Afghanistan,1987,0.083,0.72
200,Afghanistan,1988,0.09,0.72
201,Afghanistan,1989,0.094,0.72
202,Afghanistan,1990,0.093,0.72
203,Afghanistan,1991,0.093,0.72
204,Afghanistan,1992,0.091,0.72
205,Afghanistan,1993,0.091,0.72
206,Afghanistan,1994,0.091,0.72
207,Afghanistan,1995,0.091,0.72
208,Afghanistan,1996,0.083,0.72
209,Afghanistan,1997,0.072,0.72
210,Afghanistan,1998,0.072,0.72
211,Afghanistan,1999,0.072,0.72
212,Afghanistan,2000,0.072,0.72
213,Afghanistan,2001,0.079,0.72
214,Afghanistan,2002,0.223,0.72
215,Afghanistan,2003,0.231,0.72
216,Afghanistan,2004,0.254,0.72
217,Afghanistan,2005,0.336,0.72
218,Afghanistan,2006,0.395,0.72
219,Afghanistan,2007,0.395,0.72
220,Afghanistan,2008,0.4,0.72
221,Afghanistan,2009,0.392,0.72
222,Afghanistan,2010,0.377,0.72
223,Afghanistan,2011,0.375,0.72
224,Afghanistan,2012,0.377,0.72
225,Afghanistan,2013,0.38,0.72
226,Afghanistan,2014,0.379,0.72
227,Afghanistan,2015,0.378,0.72
228,Afghanistan,2016,0.354,0.72
229,Afghanistan,2017,0.353,0.72
230,Afghanistan,2018,0.352,0.72
231,Afghanistan,2019,0.351,0.72
232,Afghanistan,2020,0.351,0.72
233,Afghanistan,2021,0.16,0.72
540,Albania,1914,0.097,4.63
541,Albania,1915,0.081,4.63
542,Albania,1916,0.094,4.63
543,Albania,1917,0.094,4.63
544,Albania,1918,0.095,4.63
545,Albania,1919,0.134,4.63
546,Albania,1920,0.119,4.63
547,Albania,1921,0.213,4.63
548,Albania,1922,0.225,4.63
549,Albania,1923,0.208,4.63
550,Albania,1924,0.147,4.63
551,Albania,1925,0.165,4.63
552,Albania,1926,0.17,4.63
553,Albania,1927,0.172,4.63
554,Albania,1928,0.171,4.63
555,Albania,1929,0.139,4.63
556,Albania,1930,0.14,4.63
557,Albania,1931,0.14,4.63
558,Albania,1932,0.149,4.63
559,Albania,1933,0.172,4.63
560,Albania,1934,0.172,4.63
561,Albania,1935,0.17,4.63
562,Albania,1936,0.17,4.63
563,Albania,1937,0.121,4.63
564,Albania,1938,0.106,4.63
565,Albania,1939,0.081,4.63
566,Albania,1940,0.048,4.63
567,Albania,1941,0.048,4.63
568,Albania,1942,0.048,4.63
569,Albania,1943,0.051,4.63
570,Albania,1944,0.05,4.63
571,Albania,1945,0.048,4.63
572,Albania,1946,0.12,4.63
573,Albania,1947,0.162,4.63
574,Albania,1948,0.161,4.63
575,Albania,1949,0.164,4.63
576,Albania,1950,0.17,4.63
577,Albania,1951,0.172,4.63
578,Albania,1952,0.172,4.63
579,Albania,1953,0.172,4.63
580,Albania,1954,0.173,4.63
581,Albania,1955,0.173,4.63
582,Albania,1956,0.173,4.63
583,Albania,1957,0.173,4.63
584,Albania,1958,0.173,4.63
585,Albania,1959,0.174,4.63
586,Albania,1960,0.174,4.63
587,Albania,1961,0.174,4.63
588,Albania,1962,0.173,4.63
589,Albania,1963,0.172,4.63
590,Albania,1964,0.172,4.63
591,Albania,1965,0.172,4.63
592,Albania,1966,0.173,4.63
593,Albania,1967,0.173,4.63
594,Albania,1968,0.173,4.63
595,Albania,1969,0.173,4.63
596,Albania,1970,0.173,4.63
597,Albania,1971,0.173,4.63
598,Albania,1972,0.173,4.63
599,Albania,1973,0.173,4.63
600,Albania,1974,0.173,4.63
601,Albania,1975,0.173,4.63
602,Albania,1976,0.173,4.63
603,Albania,1977,0.173,4.63
604,Albania,1978,0.173,4.63
605,Albania,1979,0.172,4.63
606,Albania,1980,0.172,4.63
607,Albania,1981,0.172,4.63
608,Albania,1982,0.172,4.63
609,Albania,1983,0.174,4.63
610,Albania,1984,0.174,4.63
611,Albania,1985,0.174,4.63
612,Albania,1986,0.174,4.63
613,Albania,1987,0.173,4.63
614,Albania,1988,0.173,4.63
615,Albania,1989,0.173,4.63
616,Albania,1990,0.188,4.63
617,Albania,1991,0.349,4.63
618,Albania,1992,0.416,4.63
619,Albania,1993,0.416,4.63
620,Albania,1994,0.415,4.63
621,Albania,1995,0.43,4.63
622,Albania,1996,0.388,4.63
623,Albania,1997,0.367,4.63
624,Albania,1998,0.391,4.63
625,Albania,1999,0.396,4.63
626,Albania,2000,0.403,4.63
627,Albania,2001,0.437,4.63
628,Albania,2002,0.487,4.63
629,Albania,2003,0.491,4.63
630,Albania,2004,0.485,4.63
631,Albania,2005,0.508,4.63
632,Albania,2006,0.539,4.63
633,Albania,2007,0.544,4.63
634,Albania,2008,0.54,4.63
635,Albania,2009,0.537,4.63
636,Albania,2010,0.536,4.63
637,Albania,2011,0.536,4.63
638,Albania,2012,0.533,4.63
639,Albania,2013,0.502,4.63
640,Albania,2014,0.51,4.63
641,Albania,2015,0.508,4.63
642,Albania,2016,0.508,4.63
643,Albania,2017,0.525,4.63
644,Albania,2018,0.506,4.63
645,Albania,2019,0.488,4.63
646,Albania,2020,0.485,4.63
647,Albania,2021,0.478,4.63
799,Algeria,1900,0.043,1.69
800,Algeria,1901,0.042,1.69
801,Algeria,1902,0.042,1.69
802,Algeria,1903,0.042,1.69
803,Algeria,1904,0.042,1.69
804,Algeria,1905,0.042,1.69
805,Algeria,1906,0.042,1.69
806,Algeria,1907,0.042,1.69
807,Algeria,1908,0.042,1.69
808,Algeria,1909,0.042,1.69
809,Algeria,1910,0.042,1.69
810,Algeria,1911,0.042,1.69
811,Algeria,1912,0.042,1.69
812,Algeria,1913,0.042,1.69
813,Algeria,1914,0.042,1.69
814,Algeria,1915,0.042,1.69
815,Algeria,1916,0.042,1.69
816,Algeria,1917,0.042,1.69
817,Algeria,1918,0.042,1.69
818,Algeria,1919,0.042,1.69
819,Algeria,1920,0.042,1.69
820,Algeria,1921,0.042,1.69
821,Algeria,1922,0.042,1.69
822,Algeria,1923,0.041,1.69
823,Algeria,1924,0.041,1.69
824,Algeria,1925,0.041,1.69
825,Algeria,1926,0.041,1.69
826,Algeria,1927,0.044,1.69
827,Algeria,1928,0.044,1.69
828,Algeria,1929,0.044,1.69
829,Algeria,1930,0.044,1.69
830,Algeria,1931,0.044,1.69
831,Algeria,1932,0.044,1.69
832,Algeria,1933,0.044,1.69
833,Algeria,1934,0.044,1.69
834,Algeria,1935,0.043,1.69
835,Algeria,1936,0.043,1.69
836,Algeria,1937,0.043,1.69
837,Algeria,1938,0.043,1.69
838,Algeria,1939,0.043,1.69
839,Algeria,1940,0.043,1.69
840,Algeria,1941,0.043,1.69
841,Algeria,1942,0.043,1.69
842,Algeria,1943,0.043,1.69
843,Algeria,1944,0.043,1.69
844,Algeria,1945,0.046,1.69
845,Algeria,1946,0.071,1.69
846,Algeria,1947,0.071,1.69
847,Algeria,1948,0.088,1.69
848,Algeria,1949,0.094,1.69
849,Algeria,1950,0.094,1.69
850,Algeria,1951,0.094,1.69
851,Algeria,1952,0.104,1.69
852,Algeria,1953,0.076,1.69
853,Algeria,1954,0.077,1.69
854,Algeria,1955,0.092,1.69
855,Algeria,1956,0.084,1.69
856,Algeria,1957,0.076,1.69
857,Algeria,1958,0.076,1.69
858,Algeria,1959,0.076,1.69
859,Algeria,1960,0.075,1.69
860,Algeria,1961,0.075,1.69
861,Algeria,1962,0.093,1.69
862,Algeria,1963,0.149,1.69
863,Algeria,1964,0.187,1.69
864,Algeria,1965,0.132,1.69
865,Algeria,1966,0.084,1.69
866,Algeria,1967,0.084,1.69
867,Algeria,1968,0.084,1.69
868,Algeria,1969,0.084,1.69
869,Algeria,1970,0.084,1.69
870,Algeria,1971,0.084,1.69
871,Algeria,1972,0.084,1.69
872,Algeria,1973,0.084,1.69
873,Algeria,1974,0.084,1.69
874,Algeria,1975,0.084,1.69
875,Algeria,1976,0.087,1.69
876,Algeria,1977,0.188,1.69
877,Algeria,1978,0.193,1.69
878,Algeria,1979,0.193,1.69
879,Algeria,1980,0.196,1.69
880,Algeria,1981,0.196,1.69
881,Algeria,1982,0.204,1.69
882,Algeria,1983,0.206,1.69
883,Algeria,1984,0.206,1.69
884,Algeria,1985,0.206,1.69
885,Algeria,1986,0.206,1.69
886,Algeria,1987,0.206,1.69
887,Algeria,1988,0.206,1.69
888,Algeria,1989,0.218,1.69
889,Algeria,1990,0.354,1.69
890,Algeria,1991,0.355,1.69
891,Algeria,1992,0.178,1.69
892,Algeria,1993,0.172,1.69
893,Algeria,1994,0.179,1.69
894,Algeria,1995,0.199,1.69
895,Algeria,1996,0.336,1.69
896,Algeria,1997,0.325,1.69
897,Algeria,1998,0.318,1.69
898,Algeria,1999,0.327,1.69
899,Algeria,2000,0.326,1.69
900,Algeria,2001,0.326,1.69
901,Algeria,2002,0.33,1.69
902,Algeria,2003,0.335,1.69
903,Algeria,2004,0.337,1.69
904,Algeria,2005,0.34,1.69
905,Algeria,2006,0.34,1.69
906,Algeria,2007,0.335,1.69
907,Algeria,2008,0.33,1.69
908,Algeria,2009,0.33,1.69
909,Algeria,2010,0.328,1.69
910,Algeria,2011,0.33,1.69
911,Algeria,2012,0.329,1.69
912,Algeria,2013,0.328,1.69
913,Algeria,2014,0.328,1.69
914,Algeria,2015,0.33,1.69
915,Algeria,2016,0.31,1.69
916,Algeria,2017,0.311,1.69
917,Algeria,2018,0.303,1.69
918,Algeria,2019,0.293,1.69
919,Algeria,2020,0.281,1.69
920,Algeria,2021,0.284,1.69
2074,Argentina,1810,0.043,6.48
2075,Argentina,1811,0.059,6.48
2076,Argentina,1812,0.059,6.48
2077,Argentina,1813,0.059,6.48
2078,Argentina,1814,0.059,6.48
2079,Argentina,1815,0.059,6.48
2080,Argentina,1816,0.091,6.48
2081,Argentina,1817,0.091,6.48
2082,Argentina,1818,0.091,6.48
2083,Argentina,1819,0.091,6.48
2084,Argentina,1820,0.091,6.48
2085,Argentina,1821,0.091,6.48
2086,Argentina,1822,0.091,6.48
2087,Argentina,1823,0.091,6.48
2088,Argentina,1824,0.091,6.48
2089,Argentina,1825,0.091,6.48
2090,Argentina,1826,0.109,6.48
2091,Argentina,1827,0.101,6.48
2092,Argentina,1828,0.081,6.48
2093,Argentina,1829,0.077,6.48
2094,Argentina,1830,0.077,6.48
2095,Argentina,1831,0.077,6.48
2096,Argentina,1832,0.077,6.48
2097,Argentina,1833,0.077,6.48
2098,Argentina,1834,0.077,6.48
2099,Argentina,1835,0.077,6.48
2100,Argentina,1836,0.077,6.48
2101,Argentina,1837,0.077,6.48
2102,Argentina,1838,0.077,6.48
2103,Argentina,1839,0.077,6.48
2104,Argentina,1840,0.077,6.48
2105,Argentina,1841,0.077,6.48
2106,Argentina,1842,0.077,6.48
2107,Argentina,1843,0.077,6.48
2108,Argentina,1844,0.077,6.48
2109,Argentina,1845,0.077,6.48
2110,Argentina,1846,0.077,6.48
2111,Argentina,1847,0.077,6.48
2112,Argentina,1848,0.077,6.48
2113,Argentina,1849,0.077,6.48
2114,Argentina,1850,0.077,6.48
2115,Argentina,1851,0.077,6.48
2116,Argentina,1852,0.077,6.48
2117,Argentina,1853,0.137,6.48
2118,Argentina,1854,0.251,6.48
2119,Argentina,1855,0.251,6.48
2120,Argentina,1856,0.252,6.48
2121,Argentina,1857,0.275,6.48
2122,Argentina,1858,0.275,6.48
2123,Argentina,1859,0.275,6.48
2124,Argentina,1860,0.3,6.48
2125,Argentina,1861,0.301,6.48
2126,Argentina,1862,0.35,6.48
2127,Argentina,1863,0.377,6.48
2128,Argentina,1864,0.379,6.48
2129,Argentina,1865,0.379,6.48
2130,Argentina,1866,0.379,6.48
2131,Argentina,1867,0.379,6.48
2132,Argentina,1868,0.379,6.48
2133,Argentina,1869,0.379,6.48
2134,Argentina,1870,0.382,6.48
2135,Argentina,1871,0.382,6.48
2136,Argentina,1872,0.384,6.48
2137,Argentina,1873,0.384,6.48
2138,Argentina,1874,0.376,6.48
2139,Argentina,1875,0.376,6.48
2140,Argentina,1876,0.381,6.48
2141,Argentina,1877,0.381,6.48
2142,Argentina,1878,0.381,6.48
2143,Argentina,1879,0.381,6.48
2144,Argentina,1880,0.38,6.48
2145,Argentina,1881,0.38,6.48
2146,Argentina,1882,0.381,6.48
2147,Argentina,1883,0.381,6.48
2148,Argentina,1884,0.379,6.48
2149,Argentina,1885,0.379,6.48
2150,Argentina,1886,0.378,6.48
2151,Argentina,1887,0.378,6.48
2152,Argentina,1888,0.378,6.48
2153,Argentina,1889,0.378,6.48
2154,Argentina,1890,0.377,6.48
2155,Argentina,1891,0.377,6.48
2156,Argentina,1892,0.379,6.48
2157,Argentina,1893,0.379,6.48
2158,Argentina,1894,0.38,6.48
2159,Argentina,1895,0.38,6.48
2160,Argentina,1896,0.377,6.48
2161,Argentina,1897,0.377,6.48
2162,Argentina,1898,0.376,6.48
2163,Argentina,1899,0.376,6.48
2164,Argentina,1900,0.373,6.48
2165,Argentina,1901,0.373,6.48
2166,Argentina,1902,0.373,6.48
2167,Argentina,1903,0.373,6.48
2168,Argentina,1904,0.354,6.48
2169,Argentina,1905,0.346,6.48
2170,Argentina,1906,0.346,6.48
2171,Argentina,1907,0.346,6.48
2172,Argentina,1908,0.346,6.48
2173,Argentina,1909,0.346,6.48
2174,Argentina,1910,0.347,6.48
2175,Argentina,1911,0.347,6.48
2176,Argentina,1912,0.418,6.48
2177,Argentina,1913,0.443,6.48
2178,Argentina,1914,0.439,6.48
2179,Argentina,1915,0.438,6.48
2180,Argentina,1916,0.473,6.48
2181,Argentina,1917,0.495,6.48
2182,Argentina,1918,0.506,6.48
2183,Argentina,1919,0.503,6.48
2184,Argentina,1920,0.506,6.48
2185,Argentina,1921,0.504,6.48
2186,Argentina,1922,0.515,6.48
2187,Argentina,1923,0.519,6.48
2188,Argentina,1924,0.518,6.48
2189,Argentina,1925,0.517,6.48
2190,Argentina,1926,0.518,6.48
2191,Argentina,1927,0.519,6.48
2192,Argentina,1928,0.519,6.48
2193,Argentina,1929,0.519,6.48
2194,Argentina,1930,0.311,6.48
2195,Argentina,1931,0.114,6.48
2196,Argentina,1932,0.236,6.48
2197,Argentina,1933,0.284,6.48
2198,Argentina,1934,0.274,6.48
2199,Argentina,1935,0.275,6.48
2200,Argentina,1936,0.276,6.48
2201,Argentina,1937,0.28,6.48
2202,Argentina,1938,0.28,6.48
2203,Argentina,1939,0.281,6.48
2204,Argentina,1940,0.291,6.48
2205,Argentina,1941,0.293,6.48
2206,Argentina,1942,0.298,6.48
2207,Argentina,1943,0.167,6.48
2208,Argentina,1944,0.102,6.48
2209,Argentina,1945,0.091,6.48
2210,Argentina,1946,0.281,6.48
2211,Argentina,1947,0.356,6.48
2212,Argentina,1948,0.407,6.48
2213,Argentina,1949,0.399,6.48
2214,Argentina,1950,0.379,6.48
2215,Argentina,1951,0.364,6.48
2216,Argentina,1952,0.36,6.48
2217,Argentina,1953,0.357,6.48
2218,Argentina,1954,0.353,6.48
2219,Argentina,1955,0.29,6.48
2220,Argentina,1956,0.144,6.48
2221,Argentina,1957,0.18,6.48
2222,Argentina,1958,0.371,6.48
2223,Argentina,1959,0.476,6.48
2224,Argentina,1960,0.484,6.48
2225,Argentina,1961,0.486,6.48
2226,Argentina,1962,0.273,6.48
2227,Argentina,1963,0.304,6.48
2228,Argentina,1964,0.51,6.48
2229,Argentina,1965,0.51,6.48
2230,Argentina,1966,0.224,6.48
2231,Argentina,1967,0.103,6.48
2232,Argentina,1968,0.105,6.48
2233,Argentina,1969,0.105,6.48
2234,Argentina,1970,0.105,6.48
2235,Argentina,1971,0.111,6.48
2236,Argentina,1972,0.125,6.48
2237,Argentina,1973,0.336,6.48
2238,Argentina,1974,0.575,6.48
2239,Argentina,1975,0.542,6.48
2240,Argentina,1976,0.129,6.48
2241,Argentina,1977,0.071,6.48
2242,Argentina,1978,0.071,6.48
2243,Argentina,1979,0.071,6.48
2244,Argentina,1980,0.071,6.48
2245,Argentina,1981,0.071,6.48
2246,Argentina,1982,0.075,6.48
2247,Argentina,1983,0.193,6.48
2248,Argentina,1984,0.837,6.48
2249,Argentina,1985,0.836,6.48
2250,Argentina,1986,0.832,6.48
2251,Argentina,1987,0.836,6.48
2252,Argentina,1988,0.839,6.48
2253,Argentina,1989,0.837,6.48
2254,Argentina,1990,0.835,6.48
2255,Argentina,1991,0.834,6.48
2256,Argentina,1992,0.835,6.48
2257,Argentina,1993,0.834,6.48
2258,Argentina,1994,0.837,6.48
2259,Argentina,1995,0.836,6.48
2260,Argentina,1996,0.833,6.48
2261,Argentina,1997,0.832,6.48
2262,Argentina,1998,0.83,6.48
2263,Argentina,1999,0.83,6.48
2264,Argentina,2000,0.839,6.48
2265,Argentina,2001,0.838,6.48
2266,Argentina,2002,0.833,6.48
2267,Argentina,2003,0.815,6.48
2268,Argentina,2004,0.812,6.48
2269,Argentina,2005,0.81,6.48
2270,Argentina,2006,0.799,6.48
2271,Argentina,2007,0.797,6.48
2272,Argentina,2008,0.789,6.48
2273,Argentina,2009,0.784,6.48
2274,Argentina,2010,0.773,6.48
2275,Argentina,2011,0.774,6.48
2276,Argentina,2012,0.777,6.48
2277,Argentina,2013,0.782,6.48
2278,Argentina,2014,0.798,6.48
2279,Argentina,2015,0.785,6.48
2280,Argentina,2016,0.762,6.48
2281,Argentina,2017,0.756,6.48
2282,Argentina,2018,0.777,6.48
2283,Argentina,2019,0.778,6.48
2284,Argentina,2020,0.819,6.48
2285,Argentina,2021,0.819,6.48
2971,Australia,1789,0.117,10.11
2972,Australia,1790,0.117,10.11
2973,Australia,1791,0.117,10.11
2974,Australia,1792,0.117,10.11
2975,Australia,1793,0.117,10.11
2976,Australia,1794,0.117,10.11
2977,Australia,1795,0.117,10.11
2978,Australia,1796,0.117,10.11
2979,Australia,1797,0.117,10.11
2980,Australia,1798,0.117,10.11
2981,Australia,1799,0.117,10.11
2982,Australia,1800,0.117,10.11
2983,Australia,1801,0.117,10.11
2984,Australia,1802,0.117,10.11
2985,Australia,1803,0.117,10.11
2986,Australia,1804,0.117,10.11
2987,Australia,1805,0.117,10.11
2988,Australia,1806,0.117,10.11
2989,Australia,1807,0.117,10.11
2990,Australia,1808,0.117,10.11
2991,Australia,1809,0.117,10.11
2992,Australia,1810,0.117,10.11
2993,Australia,1811,0.117,10.11
2994,Australia,1812,0.117,10.11
2995,Australia,1813,0.117,10.11
2996,Australia,1814,0.117,10.11
2997,Australia,1815,0.117,10.11
2998,Australia,1816,0.117,10.11
2999,Australia,1817,0.117,10.11
3000,Australia,1818,0.117,10.11
3001,Australia,1819,0.117,10.11
3002,Australia,1820,0.117,10.11
3003,Australia,1821,0.117,10.11
3004,Australia,1822,0.117,10.11
3005,Australia,1823,0.137,10.11
3006,Australia,1824,0.204,10.11
3007,Australia,1825,0.204,10.11
3008,Australia,1826,0.204,10.11
3009,Australia,1827,0.204,10.11
3010,Australia,1828,0.204,10.11
3011,Australia,1829,0.204,10.11
3012,Australia,1830,0.204,10.11
3013,Australia,1831,0.204,10.11
3014,Australia,1832,0.204,10.11
3015,Australia,1833,0.204,10.11
3016,Australia,1834,0.204,10.11
3017,Australia,1835,0.204,10.11
3018,Australia,1836,0.204,10.11
3019,Australia,1837,0.204,10.11
3020,Australia,1838,0.204,10.11
3021,Australia,1839,0.204,10.11
3022,Australia,1840,0.204,10.11
3023,Australia,1841,0.204,10.11
3024,Australia,1842,0.204,10.11
3025,Australia,1843,0.267,10.11
3026,Australia,1844,0.316,10.11
3027,Australia,1845,0.316,10.11
3028,Australia,1846,0.316,10.11
3029,Australia,1847,0.316,10.11
3030,Australia,1848,0.316,10.11
3031,Australia,1849,0.319,10.11
3032,Australia,1850,0.319,10.11
3033,Australia,1851,0.318,10.11
3034,Australia,1852,0.317,10.11
3035,Australia,1853,0.317,10.11
3036,Australia,1854,0.317,10.11
3037,Australia,1855,0.317,10.11
3038,Australia,1856,0.493,10.11
3039,Australia,1857,0.493,10.11
3040,Australia,1858,0.583,10.11
